".id","iso3c","PC1","PC2","labels","join.on"
"Environmental","GHA",-0.2,-1.56,"E","Environmental E"
"Environmental","GIN",-2.65,-0.71,"B","Environmental B"
"Environmental","GMB",-1.81,-0.67,"B","Environmental B"
"Environmental","GNB",-3.58,-1.72,"B","Environmental B"
"Environmental","GRC",1.9,0.41,"G","Environmental G"
"Environmental","GTM",-0.74,1.21,"C","Environmental C"
"Environmental","GUY",0.54,-0.82,"E","Environmental E"
"Environmental","HND",-0.2,1.01,"F","Environmental F"
"Environmental","HRV",1.79,0.29,"G","Environmental G"
"Environmental","HTI",-2.93,0.63,"C","Environmental C"
"Environmental","HUN",1.51,-0.07,"G","Environmental G"
"Environmental","IDN",0.46,1.13,"F","Environmental F"
"Environmental","IND",-1.02,1.46,"C","Environmental C"
"Environmental","IRL",2.97,-0.93,"H","Environmental H"
"Environmental","IRN",-0.29,2.72,"D","Environmental D"
"Environmental","IRQ",-0.97,1.7,"C","Environmental C"
"Environmental","ISL",3.03,-1.29,"H","Environmental H"
"Environmental","ISR",1.89,0.14,"G","Environmental G"
"Environmental","ITA",1.82,0.56,"G","Environmental G"
"Environmental","JAM",1.03,-0.37,"G","Environmental G"
"Environmental","JOR",0.48,0.62,"F","Environmental F"
"Environmental","JPN",2.16,0.8,"G","Environmental G"
"Environmental","KAZ",1.38,0.53,"G","Environmental G"
"Environmental","KEN",-1.77,-0.26,"B","Environmental B"
"Environmental","KGZ",0.41,0.87,"F","Environmental F"
"Environmental","KHM",-1.14,0.73,"C","Environmental C"
"Environmental","KOR",1.88,0.39,"G","Environmental G"
"Environmental","KWT",1.05,-0.41,"G","Environmental G"
"Environmental","LAO",-1.67,0.9,"C","Environmental C"
"Environmental","LBN",0.09,0.95,"F","Environmental F"
"Environmental","LBR",-2.94,-1.6,"B","Environmental B"
"Environmental","LBY",0.31,1.27,"F","Environmental F"
"Environmental","LKA",-0.19,1.1,"F","Environmental F"
"Environmental","LSO",-2.34,-2.8,"B","Environmental B"
"Environmental","LTU",2.26,-1.03,"H","Environmental H"
"Environmental","LUX",2.79,-1.75,"H","Environmental H"
"Environmental","LVA",2.22,-1.14,"H","Environmental H"
"Environmental","MAR",0.61,0.11,"F","Environmental F"
"Environmental","MDA",0.72,-0.04,"F","Environmental F"
"Environmental","MDG",-2.12,-0.26,"B","Environmental B"
"Environmental","MDV",1.02,0.38,"F","Environmental F"
"Environmental","MEX",0.68,1.81,"D","Environmental D"
"Environmental","MKD",1.17,-0.25,"G","Environmental G"
"Environmental","MLI",-2.72,-1.34,"B","Environmental B"
"Environmental","MMR",-2.06,2.17,"C","Environmental C"
"Environmental","MNE",1.44,0.36,"G","Environmental G"
"Environmental","MNG",0.07,-0.72,"E","Environmental E"
"Environmental","MOZ",-3.67,-0.89,"B","Environmental B"
"Environmental","MRT",-1.79,0.34,"C","Environmental C"
"Environmental","MUS",1.87,-0.85,"H","Environmental H"
"Environmental","MWI",-2.65,-1.78,"B","Environmental B"
"Environmental","MYS",1.14,0.72,"G","Environmental G"
"Environmental","NAM",-1.18,-1.56,"B","Environmental B"
"Environmental","NER",-3.09,-1.03,"B","Environmental B"
"Environmental","NGA",-1.65,-0.77,"B","Environmental B"
"Environmental","NIC",-0.02,1.03,"F","Environmental F"
"Environmental","NLD",2.39,-0.96,"H","Environmental H"
"Environmental","NOR",3.01,-1.51,"H","Environmental H"
"Environmental","NPL",-1.13,0.7,"C","Environmental C"
"Environmental","NZL",3.07,0.1,"G","Environmental G"
"Environmental","OMN",1.29,0.59,"G","Environmental G"
"Environmental","PAK",-1.63,1.72,"C","Environmental C"
"Environmental","PAN",0.94,0.65,"F","Environmental F"
"Environmental","PER",0.61,1.47,"D","Environmental D"
"Environmental","PHL",0.29,1.68,"D","Environmental D"
"Environmental","PNG",-1.59,-0.1,"B","Environmental B"
"Environmental","POL",1.88,-0.7,"H","Environmental H"
"Environmental","PRK",-2.17,1.29,"C","Environmental C"
"Environmental","PRT",2.38,-0.31,"G","Environmental G"
"Environmental","PRY",0.48,-0.71,"E","Environmental E"
"Environmental","PSE",-1.82,1.02,"C","Environmental C"
"Environmental","QAT",0.97,-0.27,"G","Environmental G"
"Environmental","ROU",1.58,-0.01,"G","Environmental G"
"Environmental","RUS",0.45,2.21,"D","Environmental D"
"Environmental","RWA",-2.43,-0.45,"B","Environmental B"
"Environmental","SAU",0.89,0.32,"F","Environmental F"
"Environmental","SDN",-2.44,1.29,"C","Environmental C"
"Environmental","SEN",-1.51,-1.11,"B","Environmental B"
"Environmental","SGP",2.84,-2.08,"H","Environmental H"
"Environmental","SLB",-1.02,0.02,"C","Environmental C"
"Environmental","SLE",-2.51,-2.33,"B","Environmental B"
"Environmental","SLV",0.42,0.38,"F","Environmental F"
"Environmental","SOM",-4.9,1.18,"A","Environmental A"
"Environmental","SRB",0.85,0.9,"F","Environmental F"
"Environmental","SSD",-4.65,0.34,"A","Environmental A"
"Environmental","STP",-0.79,-1.74,"B","Environmental B"
"Environmental","SUR",0.92,-0.74,"E","Environmental E"
"Environmental","SVK",1.75,-0.45,"G","Environmental G"
"Environmental","SVN",2.36,-0.89,"H","Environmental H"
"Environmental","SWE",2.79,-1.19,"H","Environmental H"
"Environmental","SWZ",-2.85,-1.5,"B","Environmental B"
"Environmental","SYC",0.98,-0.74,"E","Environmental E"
"Environmental","SYR",-0.77,2.66,"D","Environmental D"
"Environmental","TCD",-4.36,-0.59,"A","Environmental A"
"Environmental","TGO",-2.03,-1.28,"B","Environmental B"
"Environmental","THA",0,2.05,"D","Environmental D"
"Environmental","TJK",-1.22,1.29,"C","Environmental C"
"Environmental","TKM",-0.38,1.83,"D","Environmental D"
"Environmental","TLS",-1.16,-0.11,"C","Environmental C"
"Environmental","TTO",1.54,-0.73,"H","Environmental H"
"Environmental","TUN",1.44,0.13,"G","Environmental G"
"Environmental","TUR",0.52,2.08,"D","Environmental D"
"Environmental","TZA",-2.56,-0.75,"B","Environmental B"
"Environmental","UGA",-2.53,-0.53,"B","Environmental B"
"Environmental","UKR",0.57,0.82,"F","Environmental F"
"Environmental","URY",1.95,-1.46,"H","Environmental H"
"Environmental","USA",2.69,0.98,"G","Environmental G"
"Environmental","UZB",0.25,1.99,"D","Environmental D"
"Environmental","VEN",-0.23,2.05,"D","Environmental D"
"Environmental","VNM",0.21,1.73,"D","Environmental D"
"Environmental","VUT",0.36,-0.19,"E","Environmental E"
"Environmental","YEM",-2.26,1.14,"C","Environmental C"
"Environmental","ZAF",0.45,-0.56,"E","Environmental E"
"Environmental","ZMB",-2.68,-1.88,"B","Environmental B"
"Environmental","ZWE",-3.27,-0.81,"B","Environmental B"
"Political","AFG",-2.46,0.99,"A","Political A"
"Political","AGO",-2.77,-0.48,"B","Political B"
"Political","ALB",0.7,0.82,"F","Political F"
"Political","ARE",0.67,-0.88,"E","Political E"
"Political","ARG",0.59,1.12,"F","Political F"
"Political","ARM",-1.53,-1.16,"B","Political B"
"Political","AUS",4.3,-1.12,"H","Political H"
"Political","AUT",3.8,-0.36,"H","Political H"
"Political","AZE",-2.62,-1.73,"B","Political B"
"Political","BDI",-2.72,-0.5,"B","Political B"
