"iso3c","PC1","PC2","cut","cluster","countryname"
"SVN",3.22590495345167,1.29845675702489,"B","F","Slovenia"
"SWE",3.1314703797446,0.658061715726858,"B","F","Sweden"
"SWZ",-2.34195733935931,0.302267791383891,"A","A","Swaziland"
"SYC",0.717544705454117,-0.850592905360222,"D","D","Seychelles"
"SYR",-4.11804908088029,2.63861032334145,"E","B","Syrian Arab Republic"
"TCD",-2.75877853408253,-0.0528937816938493,"A","A","Chad"
"TGO",-0.442875931566909,-0.730830017353335,"D","D","Togo"
"THA",-1.83131506904798,1.02485122313197,"F","C","Thailand"
"TJK",-1.55916397708649,1.7835932493197,"F","C","Tajikistan"
"TKM",-2.37370283670107,2.54482543998893,"E","B","Turkmenistan"
"TLS",-0.148085065748475,-1.49442818463763,"D","D","Timor-Leste"
"TTO",2.29637537546663,-0.0618467597872453,"B","F","Trinidad and Tobago"
"TUN",1.99350545144465,-0.577651310624341,"B","F","Tunisia"
"TUR",-2.85280488616543,1.86710890861122,"E","B","Turkey"
"TZA",-1.09068453445038,-1.02150689024043,"D","D","Tanzania"
"UGA",-1.66925945256756,-1.0074715336763,"A","A","Uganda"
"UKR",0.271011016651745,2.08153757467094,"C","E","Ukraine"
"URY",2.47820053083586,-0.478989057642441,"B","F","Uruguay"
"USA",1.69706082589192,-0.44850686623297,"B","F","United States"
"UZB",-2.17527817902765,1.84633852504127,"E","B","Uzbekistan"
"VEN",-1.60033763218674,0.690314927819341,"F","C","Venezuela"
"VNM",-0.56114970524518,0.576572802969945,"F","C","Viet Nam"
"VUT",1.09352051891338,-1.72806617793835,"D","D","Vanuatu"
"YEM",-4.14700871053867,0.181555124950017,"A","A","Yemen"
"ZAF",0.558465209871598,-2.10399143392164,"D","D","South Africa"
"ZMB",-0.620633862977602,-1.81189013442352,"D","D","Zambia"
"ZWE",-2.42259884050995,-1.51900181429823,"A","A","Zimbabwe"
