"iso3c","PC1","PC2","cut","cluster","countryname"
"DNK",4.3280003285669,0.595640477711505,"E","F","Denmark"
"DOM",-0.797413772549569,0.315073841110365,"A","C","Dominican Republic"
"DZA",-1.84268935299416,1.09245452831613,"D","B","Algeria"
"ECU",-1.32501594957086,-0.135283869374473,"A","C","Ecuador"
"EGY",-1.93064875576913,-0.812645887065059,"A","C","Egypt"
"ERI",-4.69449215657589,0.55391611008097,"B","A","Eritrea"
"ESP",2.82380372282393,-0.523735314087863,"F","E","Spain"
"EST",2.8101438012998,-0.142083189371175,"F","E","Estonia"
"ETH",-2.8672475422012,-0.039743224191192,"B","A","Ethiopia"
"FIN",3.8262577921381,1.4706821210993,"E","F","Finland"
"FJI",-0.148873579552188,0.542952701692074,"A","C","Fiji"
"FRA",3.15347833821975,-0.383635710983213,"F","E","France"
"GAB",-1.3901404563773,0.0498959772656962,"A","C","Gabon"
"GBR",4.20978439792684,1.00661789162995,"E","F","United Kingdom"
"GEO",0.501369238821814,0.346220559353719,"C","D","Georgia"
"GHA",0.136415742855549,-0.335304478034922,"C","D","Ghana"
"GIN",-2.81631496749951,0.120815281023974,"B","A","Guinea"
"GMB",-2.8706637195373,0.072101553813576,"B","A","Gambia"
"GNB",-1.64287067588451,-0.245234281618677,"A","C","Guinea-Bissau"
"GNQ",-2.82953539599203,1.56187885964326,"D","B","Equatorial Guinea"
"GRC",1.72585421153634,-0.753785241545211,"F","E","Greece"
"GTM",-0.482870378443987,-0.272910416660708,"C","D","Guatemala"
"GUY",0.702673872879728,-1.30770472144171,"C","D","Guyana"
"HND",-0.503515496231916,0.394937014706911,"A","C","Honduras"
"HRV",1.84352706010256,-0.604080186637692,"F","E","Croatia"
"HTI",-1.18172437692844,-0.874738383751741,"A","C","Haiti"
"HUN",1.72886784027883,-0.227332186138048,"F","E","Hungary"
"IDN",0.42359555165518,-1.50841928390948,"C","D","Indonesia"
"IND",0.534969921380742,-1.36124816346814,"C","D","India"
"IRL",3.00836665778914,1.66361414679679,"E","F","Ireland"
"IRN",-2.04802267132612,0.220815617039587,"B","A","Iran"
"IRQ",-1.4860978792472,-1.87418656572769,"A","C","Iraq"
"ISL",3.0016549825967,1.74893564281587,"E","F","Iceland"
"ISR",1.37975772980679,0.0577011282781267,"F","E","Israel"
"ITA",2.83235296049141,0.0322642054623239,"F","E","Italy"
"JAM",0.594475754511866,0.106323550627887,"C","D","Jamaica"
"JOR",-0.689141766844209,0.402231970801386,"A","C","Jordan"
"JPN",3.29355631924857,0.481584222675164,"E","F","Japan"
"KAZ",-2.084877356344,1.37662970310394,"D","B","Kazakhstan"
"KEN",-0.616785213357902,-1.85858713565444,"A","C","Kenya"
"KGZ",-1.21054949078359,-0.0976686795943606,"A","C","Kyrgyzstan"
"KHM",-2.2439233784985,0.844454983497276,"D","B","Cambodia"
"KOR",2.16201222105225,-0.894472562210086,"F","E","Korea"
"KWT",-0.248329216349598,0.323259018758691,"A","C","Kuwait"
